,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions,City
298,2014,206,,,,,,4162.0,11303.0,11934.0,4040.0,631.0,12043.0,664.0,3376.0,Melbourne - Inner,4327396.5,16582.0,585.0,15766.0,5227196.0,582632.0,317167.4,Melbourne - Inner,,,,,,,,,0.518,63109.0,73094.0,15762.0,49454.0,3323.0,460.0,2,875000.0,5504.0,511000.0,10239.0,Melbourne
299,2014,207,,,,,,1496.0,2309.0,3352.0,1478.0,1043.0,3360.0,850.0,628.0,Melbourne - Inner East,964620.5,4804.0,1125.0,3609.0,1877820.2,272019.2,641180.5,Melbourne - Inner East,,,,,,,,,0.557,66564.0,46295.0,18721.0,47376.0,3077.0,1387.0,2,1060000.0,5018.0,592000.0,2807.0,Melbourne
300,2014,208,,,,,,1198.0,1973.0,2800.0,1173.0,827.0,2805.0,645.0,529.0,Melbourne - Inner South,957544.2,4455.0,1041.0,3300.0,1838995.8,333199.8,548251.9,Melbourne - Inner South,,,,,,,,,0.53,67454.0,54685.0,18439.0,50000.0,2973.0,942.0,2,925000.0,5236.0,549475.0,4214.0,Melbourne
301,2014,209,,,,,,1179.0,1510.0,4563.0,1147.0,3053.0,4637.0,875.0,271.0,Melbourne - North East,535064.5,6325.0,3663.0,2653.0,1573184.5,114560.9,923559.0,Melbourne - North East,,,,,,,,,0.438,53079.0,29671.0,7104.0,45730.0,2405.0,321.0,2,501298.0,6329.0,400000.0,2086.0,Melbourne
302,2014,210,,,,,,884.0,1316.0,3676.0,867.0,2360.0,3702.0,626.0,241.0,Melbourne - North West,263455.5,4351.0,2925.0,1406.0,1080639.1,57403.7,759779.9,Melbourne - North West,,,,,,,,,0.429,51113.0,28154.0,6450.0,45004.0,2642.0,252.0,2,435125.0,4920.0,367750.0,1296.0,Melbourne
303,2014,211,,,,,,837.0,1257.0,2857.0,818.0,1600.0,2861.0,535.0,283.0,Melbourne - Outer East,300452.6,3008.0,1596.0,1384.0,903080.6,137472.0,465156.0,Melbourne - Outer East,,,,,,,,,0.444,52942.0,27361.0,7397.0,45386.0,2194.0,344.0,2,545550.0,7456.0,415000.0,2221.0,Melbourne
304,2014,212,,,,,,1770.0,1872.0,6939.0,1749.0,5067.0,6954.0,1352.0,398.0,Melbourne - South East,467631.4,8035.0,5722.0,2268.0,2127360.8,94089.1,1565640.2,Melbourne - South East,,,,,,,,,0.431,48937.0,30109.0,6073.0,43305.0,2573.0,237.0,2,452500.0,10759.0,365000.0,2839.0,Melbourne
370,2015,116,,,,,,816.0,946.0,3433.0,804.0,2487.0,3450.0,650.0,154.0,Sydney - Blacktown,384994.3,4591.0,2839.0,1728.0,1176643.2,33470.7,758178.2,Sydney - Blacktown,,,,,,,,,0.389,54306.0,35384.0,1589.0,49908.0,3968.0,130.0,1,618000.0,4800.0,469039.0,1488.0,Sydney
371,2015,117,,,,,,2012.0,5964.0,6080.0,1975.0,116.0,6081.0,121.0,1854.0,Sydney - City and Inner South,2773498.5,7225.0,85.0,6921.0,3004876.0,204092.9,27284.7,Sydney - City and Inner South,,,,,,,,,0.508,64059.0,88096.0,9836.0,49669.0,3922.0,265.0,1,1200000.0,1767.0,735000.0,6765.0,Sydney
372,2015,118,,,,,,801.0,900.0,1097.0,734.0,197.0,1105.0,394.0,341.0,Sydney - Eastern Suburbs,316604.0,1026.0,182.0,781.0,820639.5,312137.7,191897.8,Sydney - Eastern Suburbs,,,,,,,,,0.581,81951.0,165407.0,25335.0,56304.0,5598.0,862.0,1,1993500.0,2294.0,836000.0,3375.0,Sydney
373,2015,119,,,,,,1402.0,3807.0,4812.0,1345.0,1005.0,4974.0,369.0,976.0,Sydney - Inner South West,1357588.5,6176.0,1129.0,4986.0,1793757.2,100574.8,335594.1,Sydney - Inner South West,,,,,,,,,0.45,52942.0,47244.0,5752.0,45083.0,3638.0,386.0,1,928000.0,5215.0,600000.0,5291.0,Sydney
374,2015,120,,,,,,1258.0,3587.0,3805.0,1232.0,218.0,3818.0,221.0,1011.0,Sydney - Inner West,664518.9,2760.0,239.0,2412.0,983434.2,206027.8,112887.5,Sydney - Inner West,,,,,,,,,0.505,69931.0,55576.0,10320.0,53902.0,4156.0,533.0,1,1451750.0,2600.0,702000.0,4181.0,Sydney
375,2015,121,,,,,,1514.0,2762.0,3256.0,1406.0,494.0,3363.0,664.0,742.0,Sydney - North Sydney and Hornsby,1142094.4,4402.0,561.0,3616.0,1993277.0,490237.8,360944.8,Sydney - North Sydney and Hornsby,,,,,,,,,0.575,90793.0,66279.0,20081.0,60667.0,4641.0,1151.0,1,1680000.0,4777.0,745000.0,6218.0,Sydney
377,2015,123,,,,,,731.0,703.0,2653.0,703.0,1950.0,2738.0,565.0,138.0,Sydney - Outer South West,133937.8,2995.0,2334.0,646.0,867764.9,37167.2,696659.9,Sydney - Outer South West,,,,,,,,,0.4,55127.0,45936.0,3590.0,49536.0,4825.0,154.0,1,540000.0,4942.0,385000.0,1082.0,Sydney
381,2015,127,,,,,,1145.0,1041.0,4369.0,1112.0,3328.0,4475.0,890.0,222.0,Sydney - South West,329532.3,5382.0,3935.0,1387.0,1446685.8,36325.7,1080827.8,Sydney - South West,,,,,,,,,0.404,50475.0,51806.0,3850.0,45572.0,6250.0,246.0,1,650000.0,4508.0,425000.0,1877.0,Sydney
382,2015,128,,,,,,357.0,472.0,828.0,339.0,356.0,869.0,199.0,139.0,Sydney - Sutherland,222632.2,1053.0,377.0,662.0,468465.3,91962.2,153870.9,Sydney - Sutherland,,,,,,,,,0.475,66777.0,45859.0,9762.0,54146.0,3846.0,497.0,1,1000000.0,2412.0,641000.0,1905.0,Sydney
388,2015,206,,,,,,5245.0,15949.0,16562.0,5143.0,613.0,16572.0,735.0,4408.0,Melbourne - Inner,4023326.5,13464.0,538.0,12330.0,5050764.0,736167.0,291270.5,Melbourne - Inner,,,,,,,,,0.515,65246.0,101334.0,14977.0,51018.0,4046.0,401.0,2,1002000.0,4637.0,528000.0,14523.0,Melbourne
389,2015,207,,,,,,1878.0,3659.0,4784.0,1863.0,1125.0,4804.0,881.0,982.0,Melbourne - Inner East,970205.9,4542.0,1245.0,3283.0,2078321.8,310634.0,797481.9,Melbourne - Inner East,,,,,,,,,0.557,68426.0,49612.0,18360.0,48716.0,4002.0,1294.0,2,1300000.0,5125.0,620000.0,4239.0,Melbourne
390,2015,208,,,,,,1839.0,3406.0,4451.0,1821.0,1045.0,4457.0,817.0,1004.0,Melbourne - Inner South,1028907.4,4599.0,1176.0,3403.0,1938677.6,303210.7,606559.5,Melbourne - Inner South,,,,,,,,,0.529,70150.0,56284.0,17900.0,51683.0,3994.0,851.0,2,1100000.0,4997.0,561500.0,5870.0,Melbourne
391,2015,209,,,,,,1574.0,2606.0,6242.0,1535.0,3636.0,6331.0,1009.0,525.0,Melbourne - North East,640414.6,6204.0,3262.0,2931.0,1629474.5,115049.8,874010.0,Melbourne - North East,,,,,,,,,0.44,54746.0,44279.0,7225.0,47097.0,2876.0,279.0,2,521500.0,6454.0,421000.0,2853.0,Melbourne
392,2015,210,,,,,,1082.0,1411.0,4308.0,1056.0,2897.0,4352.0,792.0,265.0,Melbourne - North West,330646.7,4917.0,3231.0,1655.0,1241475.1,61726.9,849101.5,Melbourne - North West,,,,,,,,,0.428,52559.0,36663.0,6361.0,46254.0,3208.0,219.0,2,445000.0,5383.0,388000.0,1921.0,Melbourne
393,2015,211,,,,,,909.0,1432.0,3025.0,888.0,1593.0,3034.0,578.0,310.0,Melbourne - Outer East,246344.5,2935.0,1819.0,1105.0,966993.5,145274.9,575374.0,Melbourne - Outer East,,,,,,,,,0.444,54590.0,35117.0,7156.0,46731.0,2652.0,305.0,2,595000.0,7181.0,445000.0,2965.0,Melbourne
394,2015,212,,,,,,2128.0,2280.0,8003.0,2103.0,5723.0,8038.0,1630.0,473.0,Melbourne - South East,390738.4,8480.0,6641.0,1799.0,2367152.0,99915.8,1876497.8,Melbourne - South East,,,,,,,,,0.43,50236.0,32879.0,5830.0,44495.0,3182.0,200.0,2,465000.0,11515.0,405000.0,3768.0,Melbourne
459,2016,116,12.2,2203.0,1590.0,6943.0,10.4,1178.0,1741.0,4586.0,1172.0,2845.0,4594.0,786.0,386.0,Sydney - Blacktown,347727.2,4500.0,3000.0,1480.0,1150921.8,23292.3,779902.2,Sydney - Blacktown,0.9,1818.0,1712.0,33.0,672.0,3.2,380.0,2150.0,0.391,56432.0,42283.0,1355.0,51700.0,2859.0,101.0,1,680000.0,4147.0,510000.0,1141.0,Sydney
460,2016,117,24.5,2614.0,2331.0,12307.0,5.6,3005.0,7135.0,7225.0,2981.0,90.0,7225.0,124.0,2857.0,Sydney - City and Inner South,2551591.5,6854.0,127.0,6331.0,2867573.0,267452.1,48529.4,Sydney - City and Inner South,1.1,2369.0,1894.0,33.0,904.0,2.2,550.0,2500.0,0.512,66849.0,71945.0,9446.0,51244.0,2886.0,218.0,1,1365000.0,1716.0,820000.0,6088.0,Sydney
461,2016,118,18.6,2950.0,2516.0,5639.0,5.6,823.0,841.0,1026.0,770.0,185.0,1026.0,437.0,333.0,Sydney - Eastern Suburbs,442404.2,1338.0,200.0,1069.0,989118.0,319145.7,227568.2,Sydney - Eastern Suburbs,1.0,2756.0,2163.0,35.0,1020.0,2.4,580.0,2900.0,0.585,85621.0,156110.0,26367.0,58300.0,4231.0,750.0,1,2298500.0,2038.0,900000.0,2913.0,Sydney
462,2016,119,16.7,2263.0,1781.0,19646.0,9.3,1812.0,4911.0,6036.0,1764.0,1125.0,6194.0,421.0,1343.0,Sydney - Inner South West,1218199.5,5117.0,1051.0,3984.0,1643638.9,97252.0,328187.4,Sydney - Inner South West,1.1,1576.0,1431.0,35.0,565.0,2.9,415.0,2167.0,0.452,54646.0,41715.0,5441.0,46433.0,2562.0,295.0,1,1025000.0,4576.0,635000.0,4089.0,Sydney
463,2016,120,15.9,2666.0,2224.0,8484.0,7.1,994.0,2517.0,2764.0,978.0,247.0,2764.0,277.0,702.0,Sydney - Inner West,899435.0,3291.0,279.0,2958.0,1221738.2,179214.2,143089.1,Sydney - Inner West,1.0,2282.0,1964.0,36.0,828.0,2.6,500.0,2500.0,0.51,72608.0,57647.0,10132.0,55330.0,2980.0,439.0,1,1620000.0,2445.0,760000.0,3698.0,Sydney
464,2016,121,11.5,2823.0,2511.0,6261.0,7.0,2009.0,3838.0,4402.0,1979.0,564.0,4402.0,741.0,1239.0,Sydney - North Sydney and Hornsby,1412312.8,4439.0,511.0,3753.0,2141134.8,412904.0,315918.1,Sydney - North Sydney and Hornsby,1.0,2814.0,2333.0,38.0,1029.0,2.6,555.0,2600.0,0.578,95186.0,74822.0,19705.0,63276.0,3362.0,989.0,1,1835000.0,3986.0,838000.0,4936.0,Sydney
466,2016,123,10.4,2092.0,1509.0,3541.0,10.7,868.0,627.0,2937.0,846.0,2310.0,2997.0,717.0,129.0,Sydney - Outer South West,122263.9,2829.0,2259.0,555.0,825846.4,43965.3,659617.3,Sydney - Outer South West,0.9,1794.0,1637.0,35.0,686.0,3.0,360.0,2000.0,0.401,57126.0,52613.0,3435.0,51309.0,4717.0,124.0,1,605000.0,4214.0,430000.0,838.0,Sydney
470,2016,127,15.7,2127.0,1558.0,11297.0,11.0,1481.0,1466.0,5357.0,1509.0,3891.0,5453.0,1093.0,416.0,Sydney - South West,891206.2,7556.0,4239.0,3267.0,2116610.2,30870.2,1194533.9,Sydney - South West,1.0,1489.0,1429.0,35.0,500.0,3.3,365.0,2000.0,0.409,52521.0,57215.0,3571.0,47228.0,4855.0,189.0,1,745000.0,4058.0,480000.0,1393.0,Sydney
471,2016,128,8.1,2559.0,1987.0,1963.0,8.7,468.0,652.0,1029.0,456.0,377.0,1053.0,233.0,222.0,Sydney - Sutherland,721187.5,2662.0,496.0,2155.0,1027156.0,95660.8,210307.7,Sydney - Sutherland,0.9,2312.0,1979.0,40.0,836.0,2.7,450.0,2427.0,0.478,69834.0,50055.0,10159.0,56494.0,2689.0,453.0,1,1160000.0,2214.0,700000.0,1858.0,Sydney
477,2016,206,20.0,2335.0,1852.0,13934.0,4.6,5203.0,12899.0,13444.0,5110.0,545.0,13448.0,760.0,4350.0,Melbourne - Inner,3994863.0,11974.0,605.0,11241.0,5033361.0,643072.1,395425.8,Melbourne - Inner,1.0,2323.0,1699.0,33.0,883.0,2.1,401.0,2100.0,0.519,67125.0,111383.0,15108.0,52289.0,3135.0,341.0,2,1150000.0,4418.0,550000.0,12107.0,Melbourne
478,2016,207,10.4,2439.0,1834.0,3903.0,7.0,2079.0,3297.0,4536.0,2061.0,1239.0,4541.0,1085.0,977.0,Melbourne - Inner East,1132309.8,4219.0,1059.0,3153.0,2138536.5,291590.2,714636.6,Melbourne - Inner East,0.9,2183.0,1756.0,39.0,707.0,2.6,400.0,2167.0,0.562,70837.0,69584.0,18477.0,50067.0,2927.0,1134.0,2,1450500.0,4548.0,660000.0,3609.0,Melbourne
479,2016,208,10.4,2369.0,1806.0,4013.0,6.6,1939.0,3422.0,4599.0,1918.0,1177.0,4599.0,884.0,1034.0,Melbourne - Inner South,1038309.4,4599.0,1233.0,3280.0,2079035.2,345898.5,694827.5,Melbourne - Inner South,0.9,2309.0,1793.0,40.0,802.0,2.5,386.0,2167.0,0.53,72900.0,64194.0,17765.0,53517.0,3031.0,746.0,2,1275000.0,4691.0,592500.0,5225.0,Melbourne
480,2016,209,9.2,1959.0,1444.0,6371.0,8.9,1629.0,2896.0,6129.0,1594.0,3233.0,6204.0,962.0,631.0,Melbourne - North East,408750.1,4744.0,2949.0,1782.0,1424256.1,151556.9,863949.1,Melbourne - North East,0.9,1767.0,1525.0,36.0,645.0,2.8,331.0,1829.0,0.44,56703.0,33665.0,7119.0,48800.0,2398.0,231.0,2,580000.0,6392.0,440000.0,2899.0,Melbourne
481,2016,210,9.0,1849.0,1412.0,6250.0,9.9,1241.0,1680.0,4897.0,1223.0,3217.0,4917.0,888.0,336.0,Melbourne - North West,395892.5,5475.0,3607.0,1861.0,1450586.2,63651.2,991042.5,Melbourne - North West,0.9,1598.0,1422.0,35.0,579.0,2.9,330.0,1733.0,0.429,54739.0,49903.0,6232.0,48162.0,2685.0,178.0,2,474950.0,5470.0,420000.0,2066.0,Melbourne
482,2016,211,6.8,1889.0,1469.0,4146.0,8.8,967.0,1115.0,2934.0,944.0,1819.0,2935.0,696.0,248.0,Melbourne - Outer East,256121.5,2691.0,1666.0,1014.0,1005173.3,164732.0,584319.8,Melbourne - Outer East,0.8,1851.0,1559.0,39.0,674.0,2.7,350.0,1768.0,0.447,56619.0,36753.0,7172.0,48523.0,2280.0,263.0,2,675000.0,6920.0,495000.0,2890.0,Melbourne
483,2016,212,9.9,1868.0,1475.0,12835.0,10.2,2367.0,1818.0,8461.0,2342.0,6643.0,8480.0,1950.0,392.0,Melbourne - South East,551170.4,9412.0,7121.0,2275.0,2732066.5,107849.0,2073047.2,Melbourne - South East,0.9,1593.0,1444.0,35.0,586.0,2.9,336.0,1733.0,0.434,51891.0,39974.0,5767.0,45882.0,2822.0,157.0,2,516000.0,11337.0,410000.0,3585.0,Melbourne
548,2017,116,,,,,,1135.0,1429.0,4430.0,1134.0,3001.0,4430.0,801.0,334.0,Sydney - Blacktown,590719.1,5323.0,2863.0,2444.0,1364470.2,27878.6,745872.6,Sydney - Blacktown,,,,,,,,,0.398,57473.0,36696.0,1232.0,52530.0,3586.0,79.0,1,745000.0,4306.0,563000.0,1146.0,Sydney
549,2017,117,,,,,,2868.0,6540.0,6675.0,2760.0,135.0,6854.0,148.0,2612.0,Sydney - City and Inner South,2264031.5,4723.0,139.0,4510.0,2498282.5,182649.7,51601.2,Sydney - City and Inner South,,,,,,,,,0.52,65465.0,80041.0,8262.0,48978.0,3497.0,183.0,1,1555000.0,1612.0,888000.0,6745.0,Sydney
550,2017,118,,,,,,993.0,1152.0,1357.0,936.0,205.0,1357.0,453.0,483.0,Sydney - Eastern Suburbs,484534.7,1325.0,175.0,1111.0,1075007.8,368387.1,222085.9,Sydney - Eastern Suburbs,,,,,,,,,0.586,86564.0,152519.0,25802.0,58434.0,5261.0,665.0,1,2600000.0,1753.0,1100000.0,3402.0,Sydney
551,2017,119,,,,,,1644.0,4000.0,5052.0,1615.0,1052.0,5119.0,400.0,1215.0,Sydney - Inner South West,1388230.8,5779.0,1038.0,4707.0,1796358.8,91949.3,316178.6,Sydney - Inner South West,,,,,,,,,0.456,54980.0,47824.0,5452.0,46644.0,3513.0,244.0,1,1130000.0,4420.0,645000.0,4761.0,Sydney
552,2017,120,,,,,,1222.0,3009.0,3291.0,1199.0,282.0,3291.0,281.0,918.0,Sydney - Inner West,960870.6,3018.0,280.0,2709.0,1299805.8,157721.4,181213.8,Sydney - Inner West,,,,,,,,,0.512,73015.0,85362.0,9858.0,55901.0,3815.0,362.0,1,1850000.0,2079.0,790000.0,3694.0,Sydney
553,2017,121,,,,,,2216.0,3936.0,4465.0,2182.0,529.0,4475.0,680.0,1502.0,Sydney - North Sydney and Hornsby,748485.3,2790.0,537.0,2243.0,1505120.2,407767.7,348867.2,Sydney - North Sydney and Hornsby,,,,,,,,,0.577,95445.0,79174.0,19633.0,64189.0,4221.0,867.0,1,2120000.0,3841.0,915000.0,5081.0,Sydney
555,2017,123,,,,,,833.0,557.0,2812.0,810.0,2255.0,2861.0,692.0,118.0,Sydney - Outer South West,215087.9,3356.0,2498.0,841.0,1027325.2,44037.6,768199.7,Sydney - Outer South West,,,,,,,,,0.403,57735.0,44706.0,3576.0,51981.0,4465.0,100.0,1,655000.0,4050.0,465000.0,716.0,Sydney
559,2017,127,,,,,,2115.0,3250.0,7455.0,2087.0,4205.0,7550.0,1207.0,880.0,Sydney - South West,673989.6,6288.0,3970.0,2257.0,1866625.4,31878.1,1160757.8,Sydney - South West,,,,,,,,,0.412,53359.0,56087.0,3684.0,48027.0,4975.0,153.0,1,783400.0,4264.0,490500.0,1272.0,Sydney
